pathway,dimension,weight
fast,d1,0.0020478177
fast,d1,-0.0010461946
fast,d1,0.0011765693
fast,d1,-0.0012938689
fast,d1,-0.00014965108
fast,d1,-0.00029335252
fast,d1,-0.008769026
fast,d1,-0.0034721964
fast,d1,0.0012679091
fast,d1,0.00012716294
fast,d1,0.00019917819
fast,d1,-0.00058051525
fast,d1,0.005247655
fast,d1,-6.1187275e-05
fast,d1,0.0025141884
fast,d1,0.00020883058
fast,d1,-6.684227e-05
fast,d1,0.0002225113
fast,d1,-0.6221974
fast,d1,-0.00062074244
fast,d1,2.9697141e-05
fast,d1,0.000103458064
fast,d1,0.0008261808
fast,d1,-0.00096251647
fast,d1,-0.0007923123
fast,d1,-0.00014642143
fast,d1,0.0008665046
fast,d1,0.000110987006
fast,d1,0.0007526076
fast,d1,-0.00029515405
fast,d1,0.00018566586
fast,d1,-0.00046109204
fast,d1,0.0004001715
fast,d1,0.00069498783
fast,d1,-0.00096478313
fast,d1,-0.00027303438
fast,d1,0.00089330866
fast,d1,-0.0011742639
fast,d1,0.0005899887
fast,d1,0.0003681669
fast,d1,-0.00016356376
fast,d1,-0.0017278458
fast,d1,0.0028563628
fast,d1,-3.547351e-05
fast,d1,-0.0004142432
fast,d1,0.00062538806
fast,d1,-0.008874594
fast,d1,0.00018123671
fast,d1,0.0014873252
fast,d1,-0.0008947217
fast,d1,0.00061234785
fast,d1,-0.00096184853
fast,d1,0.013074427
fast,d1,0.00011080756
fast,d1,0.0011646268
fast,d1,-0.00030135384
fast,d1,2.1811706e-05
fast,d1,-0.0002894573
fast,d1,-0.48316994
fast,d1,-0.0003040554
fast,d1,0.0007046459
fast,d1,-0.00023768598
fast,d1,-0.0007035172
fast,d1,-0.00014133262
fast,d1,-0.00042957548
fast,d1,0.0012585591
fast,d1,-0.00068416
fast,d1,0.0013348017
fast,d1,0.00042783603
fast,d1,0.00028651414
fast,d1,0.00093509036
fast,d1,6.35254e-05
fast,d1,-0.0008425638
fast,d1,-0.00012402696
fast,d1,-0.0005653302
fast,d1,0.00028203338
fast,d1,-0.00101939
fast,d1,0.00013958644
fast,d1,-0.0002529152
fast,d1,-0.0009180431
fast,d1,0.0015149245
fast,d1,-0.000681127
fast,d1,0.0016481353
fast,d1,-0.0005231195
fast,d1,-0.0007545927
fast,d1,0.0011387845
fast,d1,-0.0074035726
fast,d1,0.0003854548
fast,d1,0.0010204553
fast,d1,-0.0004315343
fast,d1,-0.00012236656
fast,d1,-0.0007576105
fast,d1,0.004550567
fast,d1,0.0001652902
fast,d1,0.0009751585
fast,d1,-0.00027884374
fast,d1,-0.00060590205
fast,d1,-0.0004935708
fast,d1,-0.34717047
fast,d1,-0.00031231827
fast,d1,0.00037872227
fast,d1,0.0002037673
fast,d1,-0.0019959216
fast,d1,-0.0005506172
fast,d1,-0.00045733002
fast,d1,0.0005937218
fast,d1,-0.0005466616
fast,d1,0.00055649085
fast,d1,0.00063436653
fast,d1,1.8203282e-05
fast,d1,0.0013434996
fast,d1,0.00094585534
fast,d1,-0.0010619436
fast,d1,0.00052471994
fast,d1,-0.00010938695
fast,d1,-0.00030564095
fast,d1,0.0015780408
fast,d1,-0.00024860562
fast,d1,0.00042709187
fast,d1,-8.4544015e-05
fast,d1,0.0020618392
fast,d1,-0.00018583477
fast,d1,-0.000119719654
fast,d1,-0.00026321696
fast,d1,0.0003016633
fast,d1,9.9801604e-05
fast,d1,-0.008631656
fast,d1,-5.7661382e-05
fast,d1,0.0010469836
fast,d1,-0.0002991188
fast,d1,0.00013282479
fast,d1,4.8815913e-05
fast,d1,0.005250645
fast,d1,0.00091107865
fast,d1,0.0027024928
fast,d1,-0.002384758
fast,d1,0.0016803308
fast,d1,0.0006382889
fast,d1,-0.5483868
fast,d1,-0.0002696719
fast,d1,-3.4576453e-05
fast,d1,0.00043321872
fast,d1,-0.00042468612
fast,d1,0.00021052122
fast,d1,-0.00061654026
fast,d1,0.0004463636
fast,d1,0.00066773756
fast,d1,0.00034636943
fast,d1,-3.960755e-06
fast,d1,0.00020859114
fast,d1,-0.00016057002
fast,d1,0.00017709448
fast,d1,-0.00025471143
fast,d1,0.00052218087
fast,d1,-0.0005273365
fast,d1,-0.0006734333
fast,d1,-0.00038654765
fast,d1,-1.9388157e-05
fast,d1,0.0014527235
fast,d1,0.0005583664
fast,d1,-0.000370031
fast,d1,-1.4887191e-06
fast,d1,-0.000702115
fast,d1,0.0007435996
fast,d1,0.0007366557
fast,d1,0.00025189703
fast,d1,-0.009402506
fast,d1,-0.00094779657
fast,d1,0.0005095018
fast,d1,-0.00043744204
fast,d1,-0.00038952212
fast,d1,0.00048556502
fast,d1,0.00516445
fast,d1,-0.0002222413
fast,d1,0.0012431988
fast,d1,-0.001568529
fast,d1,0.0008984852
fast,d1,0.0009026424
fast,d1,-0.6345573
fast,d1,-0.00067668717
fast,d1,0.0004982415
fast,d1,-0.0004515562
fast,d1,-0.0018808512
fast,d1,9.703508e-06
fast,d1,0.0008636832
fast,d1,0.0020670027
fast,d1,0.0014612023
fast,d1,-0.0013389268
fast,d1,0.000824701
fast,d1,4.467633e-05
fast,d1,-0.00021515685
fast,d1,-0.00052017055
fast,d1,-0.00088298105
fast,d1,0.0005462773
fast,d1,5.161995e-05
fast,d1,0.00026279935
fast,d1,0.0007464361
fast,d1,-0.0002021523
fast,d1,-0.0006342488
fast,d1,0.00046395033
fast,d1,-0.00010953254
fast,d1,0.00044177735
fast,d1,0.0025041641
fast,d1,0.00061413023
fast,d1,0.000251457
fast,d1,0.0007506945
fast,d1,-0.006219691
fast,d1,-0.00088656484
fast,d1,0.00020430253
fast,d1,-0.000391807
fast,d1,-0.00081787386
fast,d1,0.0009488675
fast,d1,0.024052795
fast,d1,-0.0004879511
fast,d1,0.0027724998
fast,d1,0.00046562724
fast,d1,0.00019081478
fast,d1,-1.6882026e-05
fast,d1,-0.5044486
fast,d1,-0.00027310816
fast,d1,-0.00041341796
fast,d1,0.00042550103
fast,d1,-0.00025647736
fast,d1,0.00032220857
fast,d1,-0.000328845
fast,d1,0.00093586807
fast,d1,-0.00035270737
fast,d1,0.00058317103
fast,d1,-0.00021017231
fast,d1,2.9406288e-05
fast,d1,-0.00022505302
fast,d1,0.00049977476
fast,d1,0.0003463177
fast,d1,-0.0011715812
fast,d1,-4.29168e-05
fast,d1,0.00033555945
fast,d1,-0.00075995893
fast,d1,0.00026535164
fast,d1,-9.2765375e-05
fast,d1,-0.00015152089
fast,d1,0.00011850358
fast,d1,-0.00068228523
fast,d1,-3.2652257e-05
fast,d1,0.0008513286
fast,d1,-0.00033907717
fast,d1,0.00035018777
fast,d1,-0.009005768
fast,d1,-0.0013408056
fast,d1,0.0015836633
fast,d1,-0.00033121905
fast,d1,-0.00097005104
fast,d1,0.00073178957
fast,d1,0.104200535
fast,d1,0.00086450734
fast,d1,0.0012800493
fast,d1,-0.002003868
fast,d1,0.00078840717
fast,d1,0.00070493994
fast,d1,-0.36233422
fast,d1,0.0007832364
fast,d1,-0.0002697526
fast,d1,-0.00011042459
fast,d1,-0.00017992572
fast,d1,-0.00051922665
fast,d1,0.0005117959
fast,d1,0.00059053843
fast,d1,0.00012012746
fast,d1,-0.0003958752
fast,d1,-3.09154e-05
fast,d1,0.00027178123
fast,d1,-0.0006449963
fast,d1,-0.0003732826
fast,d1,-0.00033578608
fast,d1,-0.00012657212
fast,d1,-0.00043226563
fast,d1,-0.000910943
fast,d1,0.00020261377
fast,d1,-0.000254241
fast,d1,-0.00044041694
fast,d1,0.0007635566
fast,d1,0.00056751247
fast,d1,-0.00078250153
fast,d1,0.00029204309
fast,d1,3.1648306e-05
fast,d1,0.000663091
fast,d1,-0.00011249643
fast,d1,-0.008645104
fast,d1,-0.00080150145
fast,d1,0.00034914486
fast,d1,0.00043167293
fast,d1,-0.00060548366
fast,d1,0.0006790996
fast,d1,0.004398792
fast,d1,-0.00015615344
fast,d1,0.0019729221
fast,d1,0.00049498497
fast,d1,-6.637178e-05
fast,d1,0.00024929355
fast,d1,-0.35817766
fast,d1,-0.00015901017
fast,d1,0.00026048202
fast,d1,0.0006229552
fast,d1,0.0005888359
fast,d1,-0.00056738395
fast,d1,0.00041325303
fast,d1,-1.9856983e-05
fast,d1,0.0015358296
fast,d1,-0.0006457825
fast,d1,0.00021003973
fast,d1,-0.00036338152
fast,d1,0.0008838534
fast,d1,8.496773e-05
fast,d1,0.0006891223
fast,d1,0.0009786175
